Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Label
1.6880040168762207,351.8948972048313,5.331740866739868,9,594,5.331740866739868,0,9,53248,0,ATTACK
4.619174718856812,157.17093294528507,2.3813777718982587,11,726,2.3813777718982587,0,11,53248,0,ATTACK
4.827726602554321,300.7626818038444,4.557010330361279,22,1452,4.557010330361279,0,22,53248,0,ATTACK
3.4129514694213867,50.98226609987484,0.8790045879288766,3,174,0.8790045879288766,3,3,65535,0,ATTACK
4.189784288406372,1148.5078153821362,10.024382428522385,42,4812,10.024382428522385,0,42,501,42,ATTACK
0.8024930953979492,348.9126593184587,4.984466561692266,4,280,4.984466561692266,2,4,65535,0,ATTACK
4.751369476318359,280.3402275152283,4.209312725453878,20,1332,4.209312725453878,0,20,53248,0,ATTACK
0.4361274242401123,756.6595945553672,11.464539311444955,5,330,11.464539311444955,0,5,53248,0,ATTACK
0.2662453651428222,3064.8420849026697,45.071207130921614,12,816,45.071207130921614,2,12,65535,8,ATTACK
4.4563047885894775,192.53620223574893,2.917215185390136,13,858,2.917215185390136,0,13,53248,0,ATTACK
4.633112907409668,227.92451233190437,3.4534017019985503,16,1056,3.4534017019985503,0,16,53248,0,ATTACK
4.787772178649902,303.27257559891825,4.595039024226034,22,1452,4.595039024226034,0,22,53248,0,ATTACK
3.984714984893799,237.90911108922543,3.5134256911910926,14,948,3.5134256911910926,0,14,53248,0,ATTACK
